Alaves,2021,1921,Mendizorroza,19200,Alfonso Fernandez de Troconiz, Javier Calleja,www.deportivoalaves.com
Athletic,2021,1898,San Mames,53332,Aitor Elizegi,Marcelino Garcia Toral,www.athletic-club.net
Atletico,2021,1903,Wanda Metropolitano,68000,Enrique Cerezo,Diego Pablo Simeone,www.clubatleticodemadrid.com
Barcelona,2021,1899,Camp Nou,99264,Joan Laporta,Ronald Koeman,www.fcbarcelona.com
Betis,2021,1907,Benito Villamarin,60721,Angel Haro,Manuel Pellegrini,www.realbetisbalompie.es
Cadiz,2021,1910,Ramon de Carranza,19500,Manuel Vizcaino Fernandez,Alvaro Cervera,www.cadizcf.com
Celta,2021,1923,Abanca-Balaidos,31800,Carlos Mouriño,Eduardo Coudet,www.celtavigo.net
Eibar,2021,1940,Ipurua,5250,Amaia Gorostiza,Jose Luis Mendilibar,www.sdeibar.com
Elche,2021,1923,Estadio Martinez Valero,36017,Joaquin Buitrago,Fran Escriba,www.elchecf.es
Getafe,2021,1983,Coliseum Alfonso Perez,17393,Angel Torres,Jose Bordalas,www.getafecf.com
Granada,2021,1931,Nuevo Los Carmenes,23156,Jiang Lizhang,Diego Martinez,www.granadacf.es
Huesca,2021,1960,El Alcoraz,8000,Manuel Torres,Pacheta,www.sdhuesca.es
Levante,2021,1909,Ciutat de Valencia,26354,Quico Catalan,Paco Lopez,www.levanteud.es
Osasuna,2021,1920,El Sadar,19800,Luis Sabalza,Jagoba Arrasate,www.osasuna.es
Real Sociedad,2021,1909,Reale Seguros Stadium,32076,Jokin Aperribay,Imanol Alguacil,www.realsociedad.com
Real Madrid,2021,1902,Santiago Bernabeu,85454,Florentino Perez,Zinedine Zidane,www.realmadrid.com
Real Valladolid,2021,1928,Jose Zorrilla,26512,Ronaldo Nazario,Sergio Gonzalez,www.realvalladolid.es
Sevilla,2021,1890,Ramon Sanchez-Pizjuan,45500,Jose Castro,Julen Lopetegui,www.sevillafc.es
Valencia,2021,1919,Mestalla,52600,Anil Murthy,Salvador Gonzalez,www.valenciacf.es
Villareal,2021,1923,Estadio de la Ceramica,22000,Fernando Roig,Unai Emery,www.villarrealcf.es
